epoch,train_loss,val_roc_auc
1,0.5927109181711138,0.9854570637119113
2,0.4093852744482861,0.9764542936288089
3,0.341176018840567,0.9702216066481995
4,0.3099944233215093,0.9716066481994461
5,0.28354712420718964,0.9722991689750692
6,0.26421664209447354,0.9722991689750693
7,0.23785277661944387,0.9750692520775623
8,0.21877918636527158,0.9778393351800554
9,0.19685620477056912,0.9799168975069252
10,0.18062400652302635,0.9799168975069251
11,0.16647915164289992,0.9813019390581718
12,0.15511329391403417,0.9806094182825484
13,0.14541930932434877,0.979224376731302
14,0.1387318112911322,0.9785318559556787
15,0.1337643957290894,0.9778393351800554
16,0.1263605891554444,0.9736842105263158
17,0.12211253814547829,0.9722991689750692
18,0.11528416118051252,0.971606648199446
19,0.11045455348882241,0.969529085872576
20,0.10606774534934606,0.9653739612188367
21,0.10300311539587471,0.9674515235457063
22,0.10061250334112053,0.9667590027700831
23,0.1034701029714356,0.9632963988919667
24,0.0983654934796173,0.9646814404432132
25,0.09310568667460031,0.9570637119113573
26,0.0939974315740444,0.9598337950138504
27,0.08890008340533982,0.9584487534626039
28,0.08705479197437607,0.9570637119113574
29,0.0847948036260075,0.9556786703601108
30,0.08165188530656348,0.953601108033241
31,0.08194708104571725,0.9508310249307479
32,0.0816936610303713,0.9508310249307479
33,0.07647377371448397,0.9501385041551246
34,0.07728161189461026,0.9480609418282548
35,0.0771440051262535,0.9425207756232687
36,0.07359129502477808,0.9404432132963989
37,0.07161848234315203,0.9397506925207756
38,0.07049814897172811,0.9362880886426592
39,0.06642831571166671,0.9376731301939057
40,0.06275406311083044,0.9307479224376731
41,0.06255675439438929,0.9307479224376731
42,0.05969006537414684,0.9286703601108033
43,0.05682667087965202,0.9196675900277008
44,0.05699229444194044,0.9168975069252078
45,0.054239840079576544,0.914819944598338
46,0.05280208382808585,0.9065096952908588
47,0.04842939713911453,0.9065096952908587
48,0.044176291610695355,0.9030470914127423
49,0.042568654697547614,0.9037396121883657
50,0.04370779382791954,0.9030470914127423
51,0.04218669604520682,0.8947368421052632
52,0.038645979834248195,0.8947368421052633
53,0.04901326715712703,0.889196675900277
54,0.05735894160987305,0.8857340720221607
55,0.04271073545995261,0.8968144044321331
56,0.03883210364782233,0.8947368421052633
57,0.032264408111529815,0.8905817174515236
58,0.029368957658523848,0.8871191135734071
59,0.026239273003023915,0.8795013850415513
60,0.02560080337919231,0.8801939058171746
61,0.02713929782183761,0.8808864265927978
62,0.025003006305025513,0.8760387811634349
63,0.025386054748059,0.8795013850415512
64,0.022234458428544875,0.8739612188365651
65,0.021520810270750965,0.8732686980609419
66,0.021488244154429504,0.8718836565096952
67,0.01949302483339425,0.8732686980609419
68,0.018789827457477905,0.8732686980609419
69,0.018326707449648795,0.8677285318559557
70,0.017911003350659652,0.8684210526315789
71,0.01761263544721651,0.8670360110803323
72,0.017293139915393288,0.8656509695290859
73,0.017115872310861903,0.8663434903047091
74,0.016431812472917414,0.8628808864265928
75,0.01577524303264937,0.8614958448753463
76,0.01573021078954565,0.8601108033240998
77,0.01564872079658882,0.8587257617728532
78,0.015332917823453574,0.8594182825484765
79,0.014830561628050444,0.8559556786703602
80,0.014565240175189965,0.855263157894737
81,0.014252052520351362,0.8545706371191136
82,0.014108669469159552,0.85595567867036
83,0.01390869105155142,0.8594182825484764
84,0.013665135273248212,0.8497229916897509
85,0.013429076585950505,0.8476454293628808
86,0.013409457962822032,0.850415512465374
87,0.013354993926791044,0.8490304709141274
88,0.014134551695630252,0.8421052631578947
89,0.01716441093304558,0.8434903047091413
90,0.01828749170075794,0.840027700831025
91,0.014566921520224664,0.8414127423822715
92,0.01423768171685034,0.8372576177285318
93,0.012939008939852063,0.8386426592797784
94,0.012274503997099876,0.837950138504155
95,0.011902107751034095,0.8372576177285318
96,0.01146357659080684,0.8379501385041552
97,0.011190363328023005,0.8372576177285318
98,0.011057294857425567,0.8365650969529086
99,0.010949625750403967,0.8358725761772853
100,0.010679370479557419,0.835180055401662
101,0.01050570139401404,0.8337950138504154
102,0.010449942965538073,0.8331024930747923
103,0.010278491396191624,0.8317174515235457
104,0.010163492095945907,0.8268698060941828
105,0.010028525085806676,0.8268698060941828
106,0.00993459629812981,0.824792243767313
107,0.009786320322238312,0.8254847645429363
108,0.009633587331025519,0.824792243767313
109,0.00952302258026566,0.8240997229916898
110,0.009439215005675272,0.82202216066482
111,0.009411195247962094,0.8185595567867036
112,0.009323313147721127,0.8185595567867036
113,0.009220302993819075,0.8185595567867037
114,0.009232039175970092,0.8178670360110804
115,0.009064674788709209,0.8130193905817175
116,0.008890041309353123,0.8144044321329641
117,0.008698138304882579,0.8123268698060943
118,0.008667999971392658,0.814404432132964
119,0.008554967014156176,0.8130193905817175
120,0.00846891846253067,0.811634349030471
121,0.008380840972936222,0.8123268698060943
122,0.008295619092149358,0.811634349030471
123,0.00818394862932612,0.8095567867036012
124,0.008152683846588828,0.8102493074792243
125,0.008073026839739237,0.8095567867036012
126,0.007952453953312164,0.8109418282548477
127,0.007956069197633073,0.8088642659279778
128,0.007846490824940029,0.8088642659279778
129,0.007844365688778481,0.8081717451523546
130,0.0077421376654119405,0.8074792243767314
131,0.0076568997770208235,0.8074792243767314
132,0.007591993473682479,0.8074792243767314
133,0.007543532639487177,0.8033240997229917
134,0.007388452028171119,0.8019390581717452
135,0.007375466196858815,0.8047091412742383
136,0.007258025197009755,0.804016620498615
137,0.007231045323304641,0.8019390581717452
138,0.007150576151429842,0.8033240997229917
139,0.007154850412605919,0.7977839335180057
140,0.007125695924569144,0.8047091412742383
141,0.006911866690570812,0.8026315789473685
142,0.006968951884901252,0.7970914127423823
143,0.006910925437868746,0.801246537396122
144,0.006809625738801865,0.7991689750692521
145,0.006759091612068336,0.799168975069252
146,0.006663946384441988,0.801246537396122
147,0.006608170321863941,0.7957063711911357
148,0.006580825057942049,0.7977839335180056
149,0.006514740567866639,0.7957063711911357
150,0.006473603066683155,0.7970914127423824
